,date,ticker,instrument_name,open,high,low,close,agg_close
162,2019-01-01 00:00:00,BANKNIFTY31JAN1925000PE.NFO,BANKNIFTY,39.9,45.1,26.15,26.3,27.76
163,2019-01-01 00:00:00,BANKNIFTY31JAN1925300PE.NFO,BANKNIFTY,53.0,54.95,30.85,33.5,33.5
164,2019-01-01 00:00:00,BANKNIFTY31JAN1925400PE.NFO,BANKNIFTY,59.05,67.95,37.5,37.5,39.35
165,2019-01-01 00:00:00,BANKNIFTY31JAN1925500CE.NFO,BANKNIFTY,1820.4,2051.9,1745.3,2051.9,2048.82
166,2019-01-01 00:00:00,BANKNIFTY31JAN1925500PE.NFO,BANKNIFTY,51.15,78.0,42.0,45.5,45.99
167,2019-01-01 00:00:00,BANKNIFTY31JAN1925600PE.NFO,BANKNIFTY,84.35,84.35,49.5,49.5,52.38
168,2019-01-01 00:00:00,BANKNIFTY31JAN1925800CE.NFO,BANKNIFTY,1475.35,1798.95,1475.35,1798.95,1798.95
169,2019-01-01 00:00:00,BANKNIFTY31JAN1925800PE.NFO,BANKNIFTY,86.05,105.0,61.8,61.85,65.13
170,2019-01-01 00:00:00,BANKNIFTY31JAN1925900CE.NFO,BANKNIFTY,1400.0,1400.0,1400.0,1400.0,
171,2019-01-01 00:00:00,BANKNIFTY31JAN1925900PE.NFO,BANKNIFTY,67.0,113.8,67.0,67.0,68.0
172,2019-01-01 00:00:00,BANKNIFTY31JAN1926000CE.NFO,BANKNIFTY,1384.6,1575.0,1257.55,1575.0,1555.65
173,2019-01-01 00:00:00,BANKNIFTY31JAN1926000PE.NFO,BANKNIFTY,103.7,135.35,75.0,75.85,80.39
174,2019-01-01 00:00:00,BANKNIFTY31JAN1926100CE.NFO,BANKNIFTY,1275.75,1275.75,1275.75,1275.75,
175,2019-01-01 00:00:00,BANKNIFTY31JAN1926100PE.NFO,BANKNIFTY,122.3,150.8,72.35,92.15,88.26
176,2019-01-01 00:00:00,BANKNIFTY31JAN1926200CE.NFO,BANKNIFTY,1131.0,1136.0,1131.0,1136.0,
177,2019-01-01 00:00:00,BANKNIFTY31JAN1926200PE.NFO,BANKNIFTY,138.05,166.6,93.1,94.8,98.9
178,2019-01-01 00:00:00,BANKNIFTY31JAN1926300CE.NFO,BANKNIFTY,1099.65,1099.65,1099.65,1099.65,
179,2019-01-01 00:00:00,BANKNIFTY31JAN1926300PE.NFO,BANKNIFTY,159.1,182.75,100.1,100.1,110.72
180,2019-01-01 00:00:00,BANKNIFTY31JAN1926400CE.NFO,BANKNIFTY,984.95,1199.5,950.0,1180.0,1189.75
181,2019-01-01 00:00:00,BANKNIFTY31JAN1926400PE.NFO,BANKNIFTY,175.55,202.0,115.0,115.0,125.5
182,2019-01-01 00:00:00,BANKNIFTY31JAN1926500CE.NFO,BANKNIFTY,962.2,1140.0,850.0,1129.6,1123.35
183,2019-01-01 00:00:00,BANKNIFTY31JAN1926500PE.NFO,BANKNIFTY,188.4,230.5,130.0,133.0,141.78
184,2019-01-01 00:00:00,BANKNIFTY31JAN1926600PE.NFO,BANKNIFTY,213.65,259.4,145.3,146.1,154.04
185,2019-01-01 00:00:00,BANKNIFTY31JAN1926700CE.NFO,BANKNIFTY,755.0,905.1,750.0,905.1,
186,2019-01-01 00:00:00,BANKNIFTY31JAN1926700PE.NFO,BANKNIFTY,238.75,285.35,170.0,170.0,179.48
187,2019-01-01 00:00:00,BANKNIFTY31JAN1926800CE.NFO,BANKNIFTY,742.0,874.3,610.95,874.25,874.25
188,2019-01-01 00:00:00,BANKNIFTY31JAN1926800PE.NFO,BANKNIFTY,269.7,317.05,186.0,191.0,201.61
189,2019-01-01 00:00:00,BANKNIFTY31JAN1926900CE.NFO,BANKNIFTY,670.85,822.35,580.05,822.35,808.88
190,2019-01-01 00:00:00,BANKNIFTY31JAN1926900PE.NFO,BANKNIFTY,304.85,350.25,210.0,214.0,223.65
191,2019-01-01 00:00:00,BANKNIFTY31JAN1927000CE.NFO,BANKNIFTY,620.0,756.45,518.65,754.0,740.99
192,2019-01-01 00:00:00,BANKNIFTY31JAN1927000PE.NFO,BANKNIFTY,319.95,386.8,227.95,237.0,248.96
193,2019-01-01 00:00:00,BANKNIFTY31JAN1927100CE.NFO,BANKNIFTY,542.75,685.0,471.6,680.0,670.27
194,2019-01-01 00:00:00,BANKNIFTY31JAN1927100PE.NFO,BANKNIFTY,355.95,425.0,265.0,273.1,279.41
195,2019-01-01 00:00:00,BANKNIFTY31JAN1927200CE.NFO,BANKNIFTY,505.85,624.95,413.05,624.95,602.71
